#Module_ID	#ASIC_ID	#Channel	#ADC_To_MIP	#LowGain_To_HighGain_Transition	#LowGain_To_HighGain_Conversion	#TOT_To_LowGain_Transition	#TOT_To_LowGain_Conversion	#TOT_Offset	#Fully_calibrated
64	0	56	0.0220411	1963.65	8.04451	1113	5	177	0
64	0	58	0.0211727	1690.48	7.91167	1113	5	177	0
64	0	60	0.0210535	1670.06	7.88457	1113	5	177	0
64	0	62	0.0212228	2228.13	8.08806	1113	5	177	0
64	1	0	0.0224305	1469.08	8.10307	1113	5	177	0
64	1	2	0.0225376	1475.5	8.1024	1113	5	177	0
64	1	4	0.0226571	1687.65	8.13433	1113	5	177	0
64	1	6	0.0224508	1747.16	8.19945	1113	5	177	0
64	1	8	0.0226293	1659.03	8.08588	1113	5	177	0
64	1	10	0.0219131	1760.75	8.0927	1113	5	177	0
64	1	12	0.0216314	1746.11	8.17963	1113	5	177	0
64	1	14	0.0224693	1928.4	8.08857	1113	5	177	0
64	1	16	0.0202529	1908.55	8.1362	1113	5	177	0
64	1	18	0.0220543	1782.1	8.0524	1113	5	177	0
64	1	20	0.0226713	1472.26	8.05272	1113	5	177	0
64	1	22	0.0229958	1845.6	8.25878	1113	5	177	0
64	1	24	0.0220176	1958.17	8.08177	1113	5	177	0
64	1	26	0.0220187	1524.64	8.20949	1113	5	177	0
64	1	28	0.022211	1774.48	8.13819	1113	5	177	0
64	1	30	0.0223064	1751.46	8.03744	1113	5	177	0
64	1	32	0.0223347	1962.79	8.07805	1113	5	177	0
64	1	34	0.0217062	1709.49	8.22185	1113	5	177	0
64	1	36	0.0224766	1838.32	8.09005	1113	5	177	0
64	1	38	0.0221226	1896.36	8.06876	1113	5	177	0
64	1	40	0.0222955	1757.72	8.09367	1113	5	177	0
64	1	42	0.0222256	1702.23	8.17361	1113	5	177	0
64	1	44	0.0223983	1816.35	8.01935	1113	5	177	0
64	1	46	0.0224769	1677.02	8.12057	1113	5	177	0
64	1	48	0.0224248	1790.62	8.12223	1113	5	177	0
64	1	50	0.0220019	1714.92	8.11022	1113	5	177	0
64	1	52	0.0223723	1909.08	8.12076	1113	5	177	0
