#Module_ID  #ASIC_ID  #Channel  #ADC_To_MIP  #LowGain_To_HighGain_Transition  #LowGain_To_HighGain_Conversion  #TOT_To_LowGain_Transition  #TOT_To_LowGain_Conversion  #TOT_Offset  #Fully_calibrated
90  1  28  0.0271979  1500  9  1105  5.15464  192  0
90  1  30  0.0274313  1500  9  1105  5.15464  192  0
90  1  32  0.0282392  1500  9  1105  5.15464  192  0
90  1  34  0.0268569  1500  9  1105  5.15464  192  0
90  1  36  0.0276583  1500  9  1105  5.15464  192  0
90  1  38  0.0279478  1500  9  1105  5.15464  192  0
90  1  40  0.0268569  1500  9  1105  5.15464  192  0
90  1  42  0.0286099  1500  9  1105  5.15464  192  0
90  1  44  0.0284781  1500  9  1105  5.15464  192  0
90  1  46  0.0285208  1500  9  1105  5.15464  192  0
90  1  48  0.0285746  1500  9  1105  5.15464  192  0
90  1  50  0.0286618  1500  9  1105  5.15464  192  0
90  1  52  0.0278874  1500  9  1105  5.15464  192  0
90  1  54  0.0268569  1500  9  1105  5.15464  192  0
90  1  56  0.0284877  1500  9  1105  5.15464  192  0
90  1  58  0.0284307  1500  9  1105  5.15464  192  0
90  1  60  0.0256916  1500  9  1105  5.15464  192  0
90  1  62  0.0290211  1500  9  1105  5.15464  192  0
90  1  64  0.0268569  1500  9  1105  5.15464  192  0
90  2   0  0.0255295  1500  9  1132  5.02513  128  1
90  2   2  0.0276815  1500  9  1132  5.02513  128  1
90  2   4  0.0268569  1500  9  1132  5.02513  128  0
90  2   6  0.0283373  1500  9  1132  5.02513  128  1
90  2   8  0.0266594  1500  9  1132  5.02513  128  1
90  2  10  0.0275088  1500  9  1132  5.02513  128  1
90  2  12  0.0268569  1500  9  1132  5.02513  128  0
90  2  14  0.0268569  1500  9  1132  5.02513  128  0
90  2  16  0.0268569  1500  9  1132  5.02513  128  0
90  2  18  0.0257203  1500  9  1132  5.02513  128  1
90  2  20  0.0268289  1500  9  1132  5.02513  128  1
90  2  22  0.026879   1500  9  1132  5.02513  128  1
90  2  24  0.0261776  1500  9  1132  5.02513  128  1
90  2  26  0.0257961  1500  9  1132  5.02513  128  1
90  2  28  0.0253793  1500  9  1132  5.02513  128  1
90  2  30  0.0260058  1500  9  1132  5.02513  128  1
90  2  32  0.0259244  1500  9  1132  5.02513  128  1
90  2  34  0.0261848  1500  9  1132  5.02513  128  1
90  2  36  0.0262261  1500  9  1132  5.02513  128  1
90  2  38  0.0265222  1500  9  1132  5.02513  128  1
90  2  40  0.0268569  1500  9  1132  5.02513  128  0
90  2  42  0.0268569  1500  9  1132  5.02513  128  0
90  2  44  0.0253814  1500  9  1132  5.02513  128  1
90  2  46  0.0268569  1500  9  1132  5.02513  128  0
90  2  48  0.0268946  1500  9  1132  5.02513  128  1
90  2  50  0.0263495  1500  9  1132  5.02513  128  1
90  2  52  0.0278995  1500  9  1132  5.02513  128  1
90  2  54  0.0268569  1500  9  1132  5.02513  128  0
90  2  56  0.025881   1500  9  1132  5.02513  128  1
90  2  58  0.0262264  1500  9  1132  5.02513  128  1
90  2  60  0.026076   1500  9  1132  5.02513  128  1
90  2  62  0.0268569  1500  9  1132  5.02513  128  0
90  2  64  0.0268569  1500  9  1132  5.02513  128  0
90  3   0  0.0296951  1500  9  1105  5.15464  192  0
90  3   2  0.029103   1500  9  1105  5.15464  192  0
90  3   4  0.0268569  1500  9  1105  5.15464  192  0
90  3   6  0.0285198  1500  9  1105  5.15464  192  0
90  3   8  0.0268569  1500  9  1105  5.15464  192  0
90  3  10  0.0262721  1500  9  1105  5.15464  192  0
90  3  12  0.0268569  1500  9  1105  5.15464  192  0
90  3  14  0.0289086  1500  9  1105  5.15464  192  0
90  3  16  0.029882   1500  9  1105  5.15464  192  0
90  3  18  0.0291771  1500  9  1105  5.15464  192  0
90  3  20  0.0268569  1500  9  1105  5.15464  192  0
90  3  22  0.0268569  1500  9  1105  5.15464  192  0
